task_id,family,origin,parameters,property_id,variant,candidate_id,run_status,source_revision,concrete_sha256,abstract_sha256,contract_sha256,certificate_sha256,concrete_design_bits,concrete_monitor_bits,abstract_design_bits,abstract_monitor_bits,abstract_nondet_bits,b0_status,certificate_status,abstract_property_status,replay_status,strictness_status,b0_seconds,generation_seconds,frontend_seconds,certificate_seconds,abstract_property_seconds,replay_seconds,workflow_seconds,human_minutes,artifact_path,reason
R1-fsm,fsm,authored_control,3-state onehot-to-binary,exactly-one-phase,good,R1-fsm-good-01,NOT_RUN,,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R1-fsm,fsm,authored_control,3-state onehot-to-binary,exactly-one-phase,coarse,R1-fsm-coarse-01,NOT_RUN,,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R1-fsm,fsm,authored_control,3-state onehot-to-binary,exactly-one-phase,bad_certificate,R1-fsm-bad_certificate-01,NOT_RUN,,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R2-skid8,skidbuffer,upstream_rtl_derived_task,DW=8 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,good,R2-skid8-good-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R2-skid8,skidbuffer,upstream_rtl_derived_task,DW=8 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,coarse,R2-skid8-coarse-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R2-skid8,skidbuffer,upstream_rtl_derived_task,DW=8 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,bad_certificate,R2-skid8-bad_certificate-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R3-skid32,skidbuffer,upstream_rtl_derived_task,DW=32 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,good,R3-skid32-good-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R3-skid32,skidbuffer,upstream_rtl_derived_task,DW=32 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,coarse,R3-skid32-coarse-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R3-skid32,skidbuffer,upstream_rtl_derived_task,DW=32 OUTREG=1 LOWPOWER=0 PASSTHROUGH=0 INITIAL=1,hold-output-no-reset,bad_certificate,R3-skid32-bad_certificate-01,NOT_RUN,2e8d3bc2d26ddc33d1881022a2a2b9d3f0c16b9b,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R4-pipe32,pipeline,upstream_selected_property,width=32,original-output-history-sum,good,R4-pipe32-good-01,NOT_RUN,9a76dc632066c4416cebccda3a4974a4f8adede8,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R4-pipe32,pipeline,upstream_selected_property,width=32,original-output-history-sum,coarse,R4-pipe32-coarse-01,NOT_RUN,9a76dc632066c4416cebccda3a4974a4f8adede8,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
R4-pipe32,pipeline,upstream_selected_property,width=32,original-output-history-sum,bad_certificate,R4-pipe32-bad_certificate-01,NOT_RUN,9a76dc632066c4416cebccda3a4974a4f8adede8,,,,,,,,,,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,,,,,,,,,
